animal,contrast,genotype,0.2,0.5,0.8
CSP003,-1.0,C,0.8414918414918415,0.957345971563981,0.9494949494949495
CSP003,-0.25,C,0.7218045112781954,0.8222222222222222,0.8874066168623266
CSP003,-0.125,C,0.6274038461538461,0.6875,0.8237885462555066
CSP003,-0.0625,C,0.5121951219512195,0.6018518518518519,0.7315175097276264
CSP003,0.0,C,0.6852035749751738,0.530952380952381,0.5031789282470481
CSP003,0.0625,C,0.8614823815309842,0.6590909090909091,0.6777777777777778
CSP003,0.125,C,0.9055299539170507,0.8,0.7743362831858407
CSP003,0.25,C,0.9220072551390568,0.8,0.8535031847133758
CSP003,1.0,C,0.9653755868544601,0.9195979899497487,0.9105145413870246
CSP004,-1.0,C,0.8947368421052632,0.9306930693069307,0.9577677224736049
CSP004,-0.25,C,0.8146067415730337,0.8024691358024691,0.9173669467787114
CSP004,-0.125,C,0.7674418604651163,0.8514851485148515,0.894134477825465
CSP004,-0.0625,C,0.7222222222222222,0.7555555555555555,0.8690140845070422
CSP004,0.0,C,0.4891540130151844,0.47953216374269003,0.693491124260355
CSP004,0.0625,C,0.6941678520625889,0.5851063829787234,0.5573770491803278
CSP004,0.125,C,0.8888888888888888,0.7666666666666667,0.7747252747252747
CSP004,0.25,C,0.9590973201692524,0.9120879120879121,0.9137931034482759
CSP004,1.0,C,0.9946595460614153,0.9753086419753086,0.9792746113989638
CSP011,-1.0,C,0.9392523364485982,0.9471153846153846,0.9843924191750278
CSP011,-0.25,C,0.845360824742268,0.6612903225806451,0.9294377067254685
CSP011,-0.125,C,0.6334841628959276,0.46938775510204084,0.8212669683257918
CSP011,-0.0625,C,0.375609756097561,0.20618556701030927,0.6128668171557562
CSP011,0.0,C,0.7788808664259927,0.5012987012987012,0.26545454545454544
CSP011,0.0625,C,0.9506037321624589,0.9278846153846154,0.8731343283582089
CSP011,0.125,C,0.9634146341463414,0.9365853658536586,0.8530805687203792
CSP011,0.25,C,0.9534342258440046,0.9326923076923077,0.8603603603603603
CSP011,1.0,C,0.9518779342723005,0.9526315789473684,0.8475336322869955
CSP013,-1.0,C,0.9676375404530745,0.9658536585365853,0.9723289777094543
CSP013,-0.25,C,0.9545454545454546,0.9414414414414415,0.9500805152979066
CSP013,-0.125,C,0.939799331103679,0.9120370370370371,0.9363057324840764
CSP013,-0.0625,C,0.8664596273291926,0.7722772277227723,0.8856695379796398
CSP013,0.0,C,0.5830039525691699,0.5205811138014528,0.5416393442622951
CSP013,0.0625,C,0.8665581773799838,0.7735849056603774,0.8468468468468469
CSP013,0.125,C,0.9098294069861901,0.845771144278607,0.8909657320872274
CSP013,0.25,C,0.9528535980148883,0.8731707317073171,0.9202453987730062
CSP013,1.0,C,0.9597423510466989,0.9690721649484536,0.9580645161290322
CSP015,-1.0,C,0.9157894736842105,0.9736842105263158,0.9907749077490775
CSP015,-0.25,C,0.85,0.948051948051948,0.9719789842381786
CSP015,-0.125,C,0.7672413793103449,0.8666666666666667,0.9147121535181236
CSP015,-0.0625,C,0.5428571428571428,0.6413043478260869,0.7610294117647058
CSP015,0.0,C,0.6639004149377593,0.5352941176470588,0.4781906300484653
CSP015,0.0625,C,0.8820754716981132,0.7590361445783133,0.680327868852459
CSP015,0.125,C,0.9008264462809917,0.8170731707317073,0.7246376811594203
CSP015,0.25,C,0.928388746803069,0.8028169014084507,0.6666666666666666
CSP015,1.0,C,0.9263959390862944,0.7738095238095238,0.8251748251748252
CSP017,-1.0,C,0.9690721649484536,0.9545454545454546,0.9741100323624595
CSP017,-0.25,C,0.861271676300578,0.8484848484848485,0.891846921797005
CSP017,-0.125,C,0.7647058823529411,0.853448275862069,0.8727858293075684
CSP017,-0.0625,C,0.6820809248554913,0.7807017543859649,0.7682333873581848
CSP017,0.0,C,0.6154734411085451,0.5221674876847291,0.5588615782664942
CSP017,0.0625,C,0.8642951251646904,0.7372881355932204,0.8270676691729323
CSP017,0.125,C,0.8865671641791045,0.8378378378378378,0.8869047619047619
CSP017,0.25,C,0.9519650655021834,0.8524590163934426,0.9583333333333334
CSP017,1.0,C,0.9541420118343196,0.9770114942528736,0.9852941176470589
CSP023,-1.0,C,0.9719626168224299,0.943089430894309,0.9257142857142857
CSP023,-0.25,C,0.8934010152284264,0.9066666666666666,0.9151832460732985
CSP023,-0.125,C,0.8672566371681416,0.927536231884058,0.8910994764397906
CSP023,-0.0625,C,0.7008547008547008,0.7054263565891473,0.8472686733556298
CSP023,0.0,C,0.5437881873727087,0.5153846153846153,0.5791044776119403
CSP023,0.0625,C,0.7768052516411379,0.6692913385826772,0.6597510373443983
CSP023,0.125,C,0.8618090452261307,0.7931034482758621,0.7972972972972973
CSP023,0.25,C,0.9302059496567505,0.9,0.8697916666666666
CSP023,1.0,C,0.975,0.9873417721518988,0.9736842105263158
CSP025,-1.0,C,0.984251968503937,0.9893617021276596,0.9833333333333333
CSP025,-0.25,C,0.9906976744186047,0.9883040935672515,0.9761634506242906
CSP025,-0.125,C,0.9671361502347418,0.9649122807017544,0.9738933030646992
CSP025,-0.0625,C,0.9624413145539906,0.946236559139785,0.9666666666666667
CSP025,0.0,C,0.3432282003710575,0.47752808988764045,0.6593406593406593
CSP025,0.0625,C,0.8690744920993227,0.7,0.7906976744186046
CSP025,0.125,C,0.9287383177570093,0.8114285714285714,0.8925233644859814
CSP025,0.25,C,0.9261363636363636,0.8430232558139535,0.9047619047619048
CSP025,1.0,C,0.9498806682577565,0.9402985074626866,0.9459459459459459
FMR009,-1.0,F,0.8333333333333334,0.9111111111111111,0.9604938271604938
FMR009,-0.25,F,0.7029702970297029,0.7692307692307693,0.8725961538461539
FMR009,-0.125,F,0.5948275862068966,0.7125,0.8545454545454545
FMR009,-0.0625,F,0.4423076923076923,0.5,0.7321428571428571
FMR009,0.0,F,0.6067019400352733,0.5165562913907285,0.5357798165137615
FMR009,0.0625,F,0.854586129753915,0.6818181818181818,0.6371681415929203
FMR009,0.125,F,0.9474885844748858,0.7411764705882353,0.7052631578947368
FMR009,0.25,F,0.9414519906323185,0.8181818181818182,0.75
FMR009,1.0,F,0.9659090909090909,0.881578947368421,0.9090909090909091
FMR010,-1.0,F,0.9722222222222222,0.9824561403508771,0.9928825622775801
FMR010,-0.25,F,0.9180327868852459,0.9519230769230769,0.9718574108818011
FMR010,-0.125,F,0.8403361344537815,0.9122807017543859,0.9466666666666667
FMR010,-0.0625,F,0.6796116504854369,0.7589285714285714,0.8759124087591241
FMR010,0.0,F,0.7118320610687023,0.42073170731707316,0.3935599284436494
FMR010,0.0625,F,0.9012096774193549,0.9217391304347826,0.7697841726618705
FMR010,0.125,F,0.9053117782909931,0.872,0.8031496062992126
FMR010,0.25,F,0.9144736842105263,0.868421052631579,0.732824427480916
FMR010,1.0,F,0.918580375782881,0.8898305084745762,0.7552447552447552
FMR011,-1.0,F,0.9285714285714286,0.9259259259259259,0.9803220035778175
FMR011,-0.25,F,0.9328358208955224,0.9076923076923077,0.9417808219178082
FMR011,-0.125,F,0.8913043478260869,0.8899082568807339,0.9120287253141831
FMR011,-0.0625,F,0.8524590163934426,0.6974789915966386,0.8386524822695035
FMR011,0.0,F,0.5217391304347826,0.43333333333333335,0.5591572123176661
FMR011,0.0625,F,0.7585513078470825,0.76,0.7272727272727273
FMR011,0.125,F,0.8343313373253493,0.7798165137614679,0.7214285714285714
FMR011,0.25,F,0.8813229571984436,0.907563025210084,0.8357142857142857
FMR011,1.0,F,0.9049586776859504,0.9245283018867925,0.8633093525179856
FMR012,-1.0,F,0.9393939393939394,1.0,0.9690721649484536
FMR012,-0.25,F,0.8676470588235294,0.9875,0.9238754325259516
FMR012,-0.125,F,0.875,0.835820895522388,0.8512110726643599
FMR012,-0.0625,F,0.7205882352941176,0.7818181818181819,0.7325581395348837
FMR012,0.0,F,0.723342939481268,0.5454545454545454,0.3674698795180723
FMR012,0.0625,F,0.8934707903780069,0.7692307692307693,0.8378378378378378
FMR012,0.125,F,0.9163498098859315,0.8032786885245902,0.8214285714285714
FMR012,0.25,F,0.9114391143911439,0.859375,0.9186046511627907
FMR012,1.0,F,0.953405017921147,0.8873239436619719,0.875
FMR014,-1.0,F,0.8378378378378378,0.9178082191780822,0.9285714285714286
FMR014,-0.25,F,0.7631578947368421,0.9202898550724637,0.8915159944367177
FMR014,-0.125,F,0.7484662576687117,0.8686131386861314,0.875
FMR014,-0.0625,F,0.6804733727810651,0.9130434782608695,0.8330893118594437
FMR014,0.0,F,0.6831432192648923,0.45410628019323673,0.44726810673443457
FMR014,0.0625,F,0.9011976047904192,0.8409090909090909,0.8580645161290322
FMR014,0.125,F,0.9428989751098097,0.8518518518518519,0.9
FMR014,0.25,F,0.9310344827586207,0.8702290076335878,0.9112426035502958
FMR014,1.0,F,0.962536023054755,0.9243697478991597,0.9375
FMR015,-1.0,F,0.9794520547945206,0.9928057553956835,0.9862174578866769
FMR015,-0.25,F,0.96,0.9785714285714285,0.9687010954616588
FMR015,-0.125,F,0.9661016949152542,0.9230769230769231,0.9593984962406015
FMR015,-0.0625,F,0.9123711340206185,0.8671875,0.9192073170731707
FMR015,0.0,F,0.4281729428172943,0.5387931034482759,0.6464924346629987
FMR015,0.0625,F,0.7937411095305832,0.7133333333333334,0.6944444444444444
FMR015,0.125,F,0.8954802259887006,0.8611111111111112,0.8592592592592593
FMR015,0.25,F,0.9273255813953488,0.9006211180124224,0.8823529411764706
FMR015,1.0,F,0.9632352941176471,0.9603174603174603,0.9575757575757575
FMR019,-1.0,F,0.9689265536723164,0.9711191335740073,0.9709257842387146
FMR019,-0.25,F,0.9539295392953929,0.9371069182389937,0.9524886877828054
FMR019,-0.125,F,0.9049079754601227,0.8523489932885906,0.894484412470024
FMR019,-0.0625,F,0.7936507936507936,0.703971119133574,0.8091190108191654
FMR019,0.0,F,0.6522568340750159,0.5360443622920518,0.435611038107753
FMR019,0.0625,F,0.8537931034482759,0.7508305647840532,0.79375
FMR019,0.125,F,0.9147169811320754,0.852233676975945,0.8972809667673716
FMR019,0.25,F,0.9371345029239766,0.9181494661921709,0.9429530201342282
FMR019,1.0,F,0.9635687732342008,0.972972972972973,0.9450171821305842
FMR020,-1.0,F,0.9594594594594594,0.9213483146067416,0.9815078236130867
FMR020,-0.25,F,0.9333333333333333,0.9065420560747663,0.9676985195154778
FMR020,-0.125,F,0.7804878048780488,0.7473684210526316,0.9307909604519774
FMR020,-0.0625,F,0.7361963190184049,0.8165137614678899,0.9051321928460342
FMR020,0.0,F,0.5078864353312302,0.5251396648044693,0.6493150684931507
FMR020,0.0625,F,0.7737909516380655,0.504950495049505,0.562874251497006
FMR020,0.125,F,0.883248730964467,0.8217821782178217,0.7790697674418605
FMR020,0.25,F,0.9429967426710097,0.8990825688073395,0.8853503184713376
FMR020,1.0,F,0.9872813990461049,0.96,0.9329608938547486
FMR024,-1.0,F,0.979253112033195,0.9743589743589743,0.9805924412665986
FMR024,-0.25,F,0.9467213114754098,0.946078431372549,0.9665683382497542
FMR024,-0.125,F,0.9152542372881356,0.9405405405405406,0.9378757515030061
FMR024,-0.0625,F,0.8181818181818182,0.8440366972477065,0.8760245901639344
FMR024,0.0,F,0.5684210526315789,0.49184782608695654,0.5932642487046632
FMR024,0.0625,F,0.8509127789046653,0.7711442786069652,0.7198443579766537
FMR024,0.125,F,0.9078014184397163,0.9267015706806283,0.8041666666666667
FMR024,0.25,F,0.9173469387755102,0.9414634146341463,0.8600823045267489
FMR024,1.0,F,0.9472140762463344,0.9859154929577465,0.95
NYU-08,-1.0,N,0.8840579710144928,0.9142857142857143,0.9676165803108808
NYU-08,-0.25,N,0.825,0.8653846153846154,0.94921875
NYU-08,-0.125,N,0.7163461538461539,0.8712121212121212,0.9272959183673469
NYU-08,-0.0625,N,0.6825396825396826,0.7272727272727273,0.9070847851335656
NYU-08,0.0,N,0.5111561866125761,0.5174825174825175,0.7027300303336703
NYU-08,0.0625,N,0.7913340935005702,0.6,0.4898989898989899
NYU-08,0.125,N,0.8574850299401198,0.7426470588235294,0.6354679802955665
NYU-08,0.25,N,0.9157175398633257,0.8410596026490066,0.7789473684210526
NYU-08,1.0,N,0.9684848484848485,0.9668874172185431,0.890625
NYU-28,-1.0,N,0.9354838709677419,0.96,0.9600725952813067
NYU-28,-0.25,N,0.8616071428571429,0.9315789473684211,0.9184043517679057
NYU-28,-0.125,N,0.7805755395683454,0.8522167487684729,0.8829225352112676
