animal,contrast,genotype,0.2,0.5,0.8
CSP003,-1.0,C,0.15850815850815847,0.042654028436018954,0.0505050505050505
CSP003,-0.25,C,0.27819548872180455,0.1777777777777778,0.11259338313767342
CSP003,-0.125,C,0.37259615384615385,0.3125,0.17621145374449343
CSP003,-0.0625,C,0.4878048780487805,0.39814814814814814,0.2684824902723736
CSP003,0.0,C,0.6852035749751738,0.530952380952381,0.5031789282470481
CSP003,0.0625,C,0.8614823815309842,0.6590909090909091,0.6777777777777778
CSP003,0.125,C,0.9055299539170507,0.8,0.7743362831858407
CSP003,0.25,C,0.9220072551390568,0.8,0.8535031847133758
CSP003,1.0,C,0.9653755868544601,0.9195979899497487,0.9105145413870246
CSP004,-1.0,C,0.10526315789473684,0.06930693069306926,0.042232277526395134
CSP004,-0.25,C,0.1853932584269663,0.19753086419753085,0.08263305322128855
CSP004,-0.125,C,0.2325581395348837,0.14851485148514854,0.10586552217453504
CSP004,-0.0625,C,0.2777777777777778,0.24444444444444446,0.1309859154929578
CSP004,0.0,C,0.4891540130151844,0.47953216374269003,0.693491124260355
CSP004,0.0625,C,0.6941678520625889,0.5851063829787234,0.5573770491803278
CSP004,0.125,C,0.8888888888888888,0.7666666666666667,0.7747252747252747
CSP004,0.25,C,0.9590973201692524,0.9120879120879121,0.9137931034482759
CSP004,1.0,C,0.9946595460614153,0.9753086419753086,0.9792746113989638
CSP011,-1.0,C,0.06074766355140182,0.05288461538461542,0.015607580824972156
CSP011,-0.25,C,0.15463917525773196,0.33870967741935487,0.07056229327453145
CSP011,-0.125,C,0.36651583710407243,0.5306122448979591,0.17873303167420818
CSP011,-0.0625,C,0.624390243902439,0.7938144329896908,0.3871331828442438
CSP011,0.0,C,0.7788808664259927,0.5012987012987012,0.26545454545454544
CSP011,0.0625,C,0.9506037321624589,0.9278846153846154,0.8731343283582089
CSP011,0.125,C,0.9634146341463414,0.9365853658536586,0.8530805687203792
CSP011,0.25,C,0.9534342258440046,0.9326923076923077,0.8603603603603603
CSP011,1.0,C,0.9518779342723005,0.9526315789473684,0.8475336322869955
CSP013,-1.0,C,0.032362459546925515,0.034146341463414664,0.027671022290545744
CSP013,-0.25,C,0.045454545454545414,0.058558558558558516,0.0499194847020934
CSP013,-0.125,C,0.06020066889632103,0.08796296296296291,0.06369426751592355
CSP013,-0.0625,C,0.13354037267080743,0.2277227722772277,0.11433046202036024
CSP013,0.0,C,0.5830039525691699,0.5205811138014528,0.5416393442622951
CSP013,0.0625,C,0.8665581773799838,0.7735849056603774,0.8468468468468469
CSP013,0.125,C,0.9098294069861901,0.845771144278607,0.8909657320872274
CSP013,0.25,C,0.9528535980148883,0.8731707317073171,0.9202453987730062
CSP013,1.0,C,0.9597423510466989,0.9690721649484536,0.9580645161290322
CSP015,-1.0,C,0.08421052631578951,0.02631578947368418,0.009225092250922495
CSP015,-0.25,C,0.15000000000000002,0.051948051948051965,0.028021015761821366
CSP015,-0.125,C,0.23275862068965514,0.1333333333333333,0.08528784648187637
CSP015,-0.0625,C,0.4571428571428572,0.3586956521739131,0.23897058823529416
CSP015,0.0,C,0.6639004149377593,0.5352941176470588,0.4781906300484653
CSP015,0.0625,C,0.8820754716981132,0.7590361445783133,0.680327868852459
CSP015,0.125,C,0.9008264462809917,0.8170731707317073,0.7246376811594203
CSP015,0.25,C,0.928388746803069,0.8028169014084507,0.6666666666666666
CSP015,1.0,C,0.9263959390862944,0.7738095238095238,0.8251748251748252
CSP017,-1.0,C,0.030927835051546393,0.045454545454545414,0.02588996763754048
CSP017,-0.25,C,0.138728323699422,0.1515151515151515,0.10815307820299502
CSP017,-0.125,C,0.23529411764705888,0.14655172413793105,0.12721417069243157
CSP017,-0.0625,C,0.3179190751445087,0.2192982456140351,0.2317666126418152
CSP017,0.0,C,0.6154734411085451,0.5221674876847291,0.5588615782664942
CSP017,0.0625,C,0.8642951251646904,0.7372881355932204,0.8270676691729323
CSP017,0.125,C,0.8865671641791045,0.8378378378378378,0.8869047619047619
CSP017,0.25,C,0.9519650655021834,0.8524590163934426,0.9583333333333334
CSP017,1.0,C,0.9541420118343196,0.9770114942528736,0.9852941176470589
CSP023,-1.0,C,0.028037383177570097,0.05691056910569103,0.07428571428571429
CSP023,-0.25,C,0.10659898477157359,0.09333333333333338,0.08481675392670152
CSP023,-0.125,C,0.1327433628318584,0.07246376811594202,0.1089005235602094
CSP023,-0.0625,C,0.2991452991452992,0.2945736434108527,0.15273132664437017
CSP023,0.0,C,0.5437881873727087,0.5153846153846153,0.5791044776119403
CSP023,0.0625,C,0.7768052516411379,0.6692913385826772,0.6597510373443983
CSP023,0.125,C,0.8618090452261307,0.7931034482758621,0.7972972972972973
CSP023,0.25,C,0.9302059496567505,0.9,0.8697916666666666
CSP023,1.0,C,0.975,0.9873417721518988,0.9736842105263158
CSP025,-1.0,C,0.015748031496062964,0.010638297872340385,0.01666666666666672
CSP025,-0.25,C,0.009302325581395321,0.011695906432748537,0.023836549375709448
CSP025,-0.125,C,0.032863849765258246,0.03508771929824561,0.026106696935300766
CSP025,-0.0625,C,0.03755868544600938,0.053763440860215006,0.033333333333333326
CSP025,0.0,C,0.3432282003710575,0.47752808988764045,0.6593406593406593
CSP025,0.0625,C,0.8690744920993227,0.7,0.7906976744186046
CSP025,0.125,C,0.9287383177570093,0.8114285714285714,0.8925233644859814
CSP025,0.25,C,0.9261363636363636,0.8430232558139535,0.9047619047619048
CSP025,1.0,C,0.9498806682577565,0.9402985074626866,0.9459459459459459
FMR009,-1.0,F,0.16666666666666663,0.0888888888888889,0.03950617283950619
FMR009,-0.25,F,0.29702970297029707,0.23076923076923073,0.12740384615384615
FMR009,-0.125,F,0.4051724137931034,0.2875,0.1454545454545455
FMR009,-0.0625,F,0.5576923076923077,0.5,0.2678571428571429
FMR009,0.0,F,0.6067019400352733,0.5165562913907285,0.5357798165137615
FMR009,0.0625,F,0.854586129753915,0.6818181818181818,0.6371681415929203
FMR009,0.125,F,0.9474885844748858,0.7411764705882353,0.7052631578947368
FMR009,0.25,F,0.9414519906323185,0.8181818181818182,0.75
FMR009,1.0,F,0.9659090909090909,0.881578947368421,0.9090909090909091
FMR010,-1.0,F,0.02777777777777779,0.01754385964912286,0.007117437722419906
FMR010,-0.25,F,0.08196721311475408,0.04807692307692313,0.02814258911819889
FMR010,-0.125,F,0.15966386554621848,0.08771929824561409,0.053333333333333344
FMR010,-0.0625,F,0.3203883495145631,0.2410714285714286,0.12408759124087587
FMR010,0.0,F,0.7118320610687023,0.42073170731707316,0.3935599284436494
FMR010,0.0625,F,0.9012096774193549,0.9217391304347826,0.7697841726618705
FMR010,0.125,F,0.9053117782909931,0.872,0.8031496062992126
FMR010,0.25,F,0.9144736842105263,0.868421052631579,0.732824427480916
FMR010,1.0,F,0.918580375782881,0.8898305084745762,0.7552447552447552
FMR011,-1.0,F,0.0714285714285714,0.07407407407407407,0.019677996422182487
FMR011,-0.25,F,0.06716417910447758,0.09230769230769231,0.05821917808219179
FMR011,-0.125,F,0.10869565217391308,0.11009174311926606,0.08797127468581689
FMR011,-0.0625,F,0.14754098360655743,0.3025210084033614,0.1613475177304965
