control_subject,Within control,Control vs S,Control vs F,Control vs C
0,33.10807150664499,53.12136512408031,40.65602957973058,66.88343172861218
1,41.68076007523108,22.639933367154036,24.175103511335507,32.10252929680814
2,61.31532552596185,91.41730632926675,75.24924267748979,97.09460180117419
3,28.222322087210973,42.603140237001824,32.97728000538245,55.62506152484298
4,40.645870927801404,62.50377485492787,53.57776410426041,69.12226016254148
5,30.85263285424793,29.252349526356866,24.46532631098906,45.61232202040468
6,30.45436033985782,44.5431903878897,31.58278457506785,63.51713554439295
7,33.45439566765125,30.448674446808493,24.2367245080657,48.205534292749476
8,28.013036788520235,38.13321679614543,29.262379734092836,52.385768400524086
9,82.80397650072007,60.67989685428812,60.57470113517249,63.50308345186597
